DISTANCIA1;DISTANCIA2;DISTANCIA3;DISTANCIA4;POSICION
185.60711193270586;179.17868176767013;131.8256424221024;126.66885963013956;Izquierda
139.71399357258383;187.608635195718;73.02739212103907;152.2694979304785;Izquierda
181.13530854032848;197.08373854785685;102.6498904042279;165.59287424282482;Izquierda
185.930094390338;212.24985276791125;114.20157617125956;165.07574019219177;Izquierda
143.78456106272327;177.65415840897168;67.1863081289633;150.8011936292283;Izquierda
144.3918280236108;184.1140950606444;74.33034373659252;155.60205654167942;Izquierda
151.07613974417006;192.4162155328911;78.40918313565064;161.60445538412608;Izquierda
153.16004700965587;197.28405916343064;80.15609770940699;158.80806024884254;Izquierda
151.47607071745688;200.11246837716035;81.00617260431454;159.5054857990784;Izquierda
122.03687967167957;177.53027910753704;80.06247560499239;140.356688476182;Izquierda
128.2497563350512;196.22945752358385;92.11405973031478;136.69308687713507;Izquierda
135.72398461583714;179.8777362543792;67.06713054842886;142.87407042567241;Izquierda
135.72398461583714;179.8777362543792;67.06713054842886;142.87407042567241;Izquierda
142.35167719419397;181.37254478007415;70.11419257183242;152.80052355931247;Izquierda
144.5856147754679;181.10770276274835;76.11832893594026;151.47607071745688;Izquierda
147.33974345029924;187.608635195718;76.32168761236873;148.94629904767692;Izquierda
146.66969693839283;190.24457942343588;76.23647421018367;150.3362896974646;Izquierda
136.1800279042415;177.48521065147935;71.56814934033156;152.0131573252789;Izquierda
142.79005567615695;182.4828759089466;70.34912934784623;142.56226709757388;Izquierda
141.50971698084905;188.13824704190267;67.06713054842886;149.04026301640775;Izquierda
143.68368035375485;189.274932307477;71.56814934033156;163.67040050051813;Izquierda
143.8923208513922;193.14502323383846;81.34494452638098;154.76756766196203;Izquierda
148.03040228277433;195.88006534611938;75.31268153505093;154.48624534242524;Izquierda
144.6789549312546;198.39858870465787;73.06161783043132;157.54364474646383;Izquierda
203.59027481684876;210.77476129745705;123.98790263570072;154.0519392932137;Izquierda
151.19854496654392;196.66468925559565;71.02816342831905;164.2589419179364;Izquierda
151.32745950421557;193.05180651835403;76.6550715869472;157.05094714773293;Izquierda
151.11915828246265;196.9009903479411;82.49242389456137;159.22311389996113;Izquierda
158.02847844613325;208.12496246245908;77.1621668954417;154.8709139896837;Izquierda
155.54099138169335;208.65521800328887;86.57944328765345;165.0272704737008;Izquierda
155.23208431248997;218.81956036881164;103.09219175087898;163.8566446623389;Izquierda
154.20765220960988;221.92341021172146;101.86756107809786;161.13658802394943;Izquierda
152.41062955056645;222.55111772354684;105.51303237041384;160.75136080294934;Izquierda
140.356688476182;197.3448757885545;74.16872656315464;158.51813776347487;Izquierda
178.05897899291685;236.76359517459605;96.08329719571451;193.20455481173315;Izquierda
138.52075656738234;176.91806012954132;68.73136110975832;157.54364474646383;Izquierda
141.7956275771577;182.5705343148231;75.13321502504735;149.78985279383915;Izquierda
147.95945390545344;190.90573590125572;77.3692445355388;148.35430563350698;Izquierda
134.18271125595876;178.91059219621403;72.18032973047436;145.89036979869508;Izquierda
131.00381673829202;177.72169254201918;68.06614430096654;142.8355697996826;Izquierda
134.00373129133382;181.72781845386248;73.43704787094863;145.34441853748632;Izquierda
133.9589489358587;184.04347312523745;78.10249675906654;142.1724305201258;Izquierda
134.73306943731373;186.80738743422327;84.48076704197234;140.1606221447379;Izquierda
123.58397954427588;176.207264322445;67.26812023536856;141.24092891226678;Izquierda
123.58397954427588;176.207264322445;67.26812023536856;141.24092891226678;Izquierda
127.01574705523721;173.25414857947845;71.11258679024411;140.90067423543437;Izquierda
138.0905500025255;182.43354954612926;67.26812023536856;140.356688476182;Izquierda
125.89678312014172;177.48521065147935;74.95331880577403;142.52368224263643;Izquierda
134.73306943731373;182.00274723201295;75.32595834106593;144.02777509911067;Izquierda
134.34656675925888;185.80096878111266;76.79192665899195;138.2244551445221;Izquierda
136.06616037795732;189.2828571212935;79.07591289387686;133.3604139165742;Izquierda
145.0551619212498;201.13676938839401;75.18643494673756;137.92751719653333;Izquierda
144.05554484295286;196.7587355112855;76.40026177965623;138.75518008348374;Izquierda
141.0;195.93111034238538;77.27871634544663;142.35870187663275;Izquierda
129.5569372901351;171.81967291320282;64.32728814430156;145.86637720873168;Izquierda
120.10412149464314;166.19265928433782;70.25667228100119;144.03124660989366;Izquierda
126.0;173.25414857947845;71.02112361825881;134.79243302203577;Izquierda
128.0;183.14202139323461;74.95331880577403;132.60844618650805;Izquierda
128.39003076563228;188.86238376129853;76.15773105863909;130.6330739131557;Izquierda
130.4645545732633;191.7837323653912;77.20103626247513;130.91982279242512;Izquierda
128.06248474865697;186.6815470259447;76.68767828015137;131.2288078129189;Izquierda
121.01652779682617;167.60966559241146;69.92138442565336;143.60013927569847;Izquierda
127.01574705523721;177.89041570584965;73.76313442364011;141.4814475470194;Izquierda
130.11533345459327;183.15294155431957;81.34494452638098;141.7391971192161;Izquierda
124.45882853377658;188.35073665903195;94.51454914456292;137.05838172107534;Izquierda
117.08543888972702;185.39687160251654;97.52948272189288;134.79243302203577;Izquierda
114.93476410555685;182.4828759089466;95.70788891204319;132.85330255586422;Izquierda
123.14625451064275;192.5876423865249;82.0792300158816;127.02755606560333;Izquierda
122.06555615733703;163.37074401495514;67.11929677819934;140.92906016858268;Izquierda
123.62847568420473;174.79416466232504;72.80109889280519;140.75865870347016;Izquierda
132.6386067478093;177.80044994318772;71.30918594402827;136.69308687713507;Izquierda
126.25371281669304;165.0242406436097;66.70832032063167;139.38794782907166;Izquierda
129.65338406690356;170.41420128616042;70.57619995437555;147.6279106402309;Izquierda
142.1724305201258;182.45547402037573;73.24616030891995;153.1012736720371;Izquierda
141.69333082400175;187.8643127366132;74.54528824815154;147.35331689514152;Izquierda
141.2834031300209;189.2828571212935;77.27871634544663;140.54536634126364;Izquierda
137.10215169719257;189.44656238633627;84.64632301523794;141.8238343861849;Izquierda
139.46325680981354;193.43732835210477;86.83317338436964;140.42791745233566;Izquierda
138.97481786280562;196.45864704817652;87.80091115700337;138.6542462386205;Izquierda
124.10076550932311;169.7056274847714;71.25307010929424;140.6627171641441;Izquierda
135.0148140020198;172.59490143106777;66.09841147864296;149.20120642943877;Izquierda
125.03599481749245;167.6007159889241;71.16881339463234;140.41723540933285;Izquierda
124.14507642270796;172.81782315490494;73.824115301167;138.80922159568507;Izquierda
130.06152390311286;178.89941307897016;71.00704190430693;141.8344104933637;Izquierda
135.29966740535616;183.25119372053214;74.46475676452586;136.2130683891968;Izquierda
